t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase,demand,fulfilled_external,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
25,W1,259,0,0,1255,222,203,EOD,0,0,5.76,0.0,0.0,0.0,5.76
25,W2,272,0,0,1365,212,246,EOD,0,0,5.76,0.0,0.0,0.0,5.76
25,R1,206,0,0,256,126,184,EOD,126,126,5.76,0.0,0.0,0.0,5.76
25,R2,135,0,0,280,66,100,EOD,66,66,5.76,0.0,0.0,0.0,5.76
25,R3,192,0,0,960,205,248,EOD,205,205,5.76,0.0,0.0,0.0,5.76
26,Supplier,0,0,0,0,0,0,EOD,0,0,9.18,0.0,0.0,0.0,9.18
26,W1,279,0,0,1265,192,212,EOD,0,0,9.18,0.0,0.0,0.0,9.18
26,W2,249,0,0,1395,205,182,EOD,0,0,9.18,0.0,0.0,0.0,9.18
26,R1,203,0,0,265,120,117,EOD,120,120,9.18,0.0,0.0,0.0,9.18
26,R2,172,0,0,238,71,108,EOD,71,71,9.18,0.0,0.0,0.0,9.18
26,R3,306,0,0,861,190,304,EOD,190,190,9.18,0.0,0.0,0.0,9.18
27,Supplier,0,0,0,0,0,0,EOD,0,0,10.35,0.0,0.0,0.0,10.35
27,W1,329,0,0,1216,191,241,EOD,0,0,10.35,0.0,0.0,0.0,10.35
27,W2,246,0,0,1413,190,187,EOD,0,0,10.35,0.0,0.0,0.0,10.35
27,R1,186,0,0,246,156,139,EOD,156,156,10.35,0.0,0.0,0.0,10.35
27,R2,162,0,0,220,99,89,EOD,99,99,10.35,0.0,0.0,0.0,10.35
27,R3,345,0,0,779,233,272,EOD,233,233,10.35,0.0,0.0,0.0,10.35
28,Supplier,0,0,0,0,0,0,EOD,0,0,6.359999999999999,0.0,0.0,0.0,6.359999999999999
28,W1,378,0,0,1103,255,304,EOD,0,0,6.359999999999999,0.0,0.0,0.0,6.359999999999999
28,W2,261,0,0,1355,233,248,EOD,0,0,6.359999999999999,0.0,0.0,0.0,6.359999999999999
28,R1,147,0,0,276,165,126,EOD,165,165,6.359999999999999,0.0,0.0,0.0,6.359999999999999
28,R2,147,0,0,236,98,83,EOD,98,98,6.359999999999999,0.0,0.0,0.0,6.359999999999999
28,R3,212,0,0,840,305,172,EOD,305,305,6.359999999999999,0.0,0.0,0.0,6.359999999999999
29,Supplier,0,0,0,0,0,0,EOD,0,0,3.81,0.0,0.0,0.0,3.81
29,W1,407,0,0,1066,263,292,EOD,0,0,3.81,0.0,0.0,0.0,3.81
29,W2,260,0,0,1284,305,304,EOD,0,0,3.81,0.0,0.0,0.0,3.81
29,R1,73,0,0,321,194,120,EOD,194,194,3.81,0.0,0.0,0.0,3.81
29,R2,136,0,0,268,77,66,EOD,77,77,3.81,0.0,0.0,0.0,3.81
29,R3,127,0,0,933,297,212,EOD,297,297,3.81,0.0,0.0,0.0,3.81
30,Supplier,0,0,0,0,0,0,EOD,0,0,4.92,0.0,0.0,0.0,4.92
30,W1,342,0,0,1123,271,206,EOD,0,0,4.92,0.0,0.0,0.0,4.92
30,W2,235,0,0,1317,297,272,EOD,0,0,4.92,0.0,0.0,0.0,4.92
30,R1,110,0,0,359,119,156,EOD,119,119,4.92,0.0,0.0,0.0,4.92
30,R2,137,0,0,274,70,71,EOD,70,70,4.92,0.0,0.0,0.0,4.92
30,R3,164,0,0,1025,168,205,EOD,168,168,4.92,0.0,0.0,0.0,4.92
31,Supplier,0,0,0,0,0,0,EOD,0,0,3.36,0.0,0.0,0.0,3.36
31,W1,375,0,0,1172,189,222,EOD,0,0,3.36,0.0,0.0,0.0,3.36
31,W2,239,0,0,1442,168,172,EOD,0,0,3.36,0.0,0.0,0.0,3.36
31,R1,152,0,0,313,123,165,EOD,123,123,3.36,0.0,0.0,0.0,3.36
31,R2,153,0,0,245,83,99,EOD,83,83,3.36,0.0,0.0,0.0,3.36
31,R3,112,0,0,1003,242,190,EOD,242,242,3.36,0.0,0.0,0.0,3.36
32,Supplier,0,0,0,0,0,0,EOD,0,0,4.109999999999999,0.0,0.0,0.0,4.109999999999999
32,W1,361,0,0,1169,206,192,EOD,0,0,4.109999999999999,0.0,0.0,0.0,4.109999999999999
32,W2,209,0,0,1398,242,212,EOD,0,0,4.109999999999999,0.0,0.0,0.0,4.109999999999999
32,R1,219,0,0,242,127,194,EOD,127,127,4.109999999999999,0.0,0.0,0.0,4.109999999999999
32,R2,170,0,0,230,81,98,EOD,81,81,4.109999999999999,0.0,0.0,0.0,4.109999999999999
32,R3,137,0,0,1012,208,233,EOD,208,208,4.109999999999999,0.0,0.0,0.0,4.109999999999999
33,Supplier,0,0,0,0,0,0,EOD,0,0,7.17,0.0,0.0,0.0,7.17
33,W1,344,0,0,1184,208,191,EOD,0,0,7.17,0.0,0.0,0.0,7.17
33,W2,206,0,0,1435,208,205,EOD,0,0,7.17,0.0,0.0,0.0,7.17
33,R1,189,0,0,250,149,119,EOD,149,149,7.17,0.0,0.0,0.0,7.17
33,R2,145,0,0,234,102,77,EOD,102,102,7.17,0.0,0.0,0.0,7.17
33,R3,239,0,0,915,203,305,EOD,203,203,7.17,0.0,0.0,0.0,7.17
34,Supplier,0,0,0,0,0,0,EOD,0,0,8.58,0.0,0.0,0.0,8.58
34,W1,348,0,0,1137,251,255,EOD,0,0,8.58,0.0,0.0,0.0,8.58
34,W2,193,0,0,1453,203,190,EOD,0,0,8.58,0.0,0.0,0.0,8.58
34,R1,146,0,0,276,166,123,EOD,166,166,8.58,0.0,0.0,0.0,8.58
34,R2,123,0,0,266,92,70,EOD,92,92,8.58,0.0,0.0,0.0,8.58
34,R3,286,0,0,821,250,297,EOD,250,250,8.58,0.0,0.0,0.0,8.58
35,Supplier,0,0,0,0,0,0,EOD,0,0,4.62,0.0,0.0,0.0,4.62
35,W1,353,0,0,1125,258,263,EOD,0,0,4.62,0.0,0.0,0.0,4.62
35,W2,176,0,0,1423,250,233,EOD,0,0,4.62,0.0,0.0,0.0,4.62
35,R1,93,0,0,315,180,127,EOD,180,180,4.62,0.0,0.0,0.0,4.62
35,R2,68,0,0,275,138,83,EOD,138,138,4.62,0.0,0.0,0.0,4.62
35,R3,154,0,0,903,300,168,EOD,300,300,4.62,0.0,0.0,0.0,4.62
36,Supplier,0,0,0,0,0,0,EOD,0,0,2.4899999999999998,0.0,0.0,0.0,2.4899999999999998
36,W1,306,0,0,1112,318,271,EOD,0,0,2.4899999999999998,0.0,0.0,0.0,2.4899999999999998
36,W2,181,0,0,1368,300,305,EOD,0,0,2.4899999999999998,0.0,0.0,0.0,2.4899999999999998
36,R1,63,0,0,346,179,149,EOD,179,179,2.4899999999999998,0.0,0.0,0.0,2.4899999999999998
36,R2,24,0,0,332,125,81,EOD,125,125,2.4899999999999998,0.0,0.0,0.0,2.4899999999999998
36,R3,83,0,0,961,313,242,EOD,313,313,2.4899999999999998,0.0,0.0,0.0,2.4899999999999998
37,Supplier,0,0,0,0,0,0,EOD,0,0,1.98,0.0,0.0,0.0,1.98
37,W1,191,0,0,1241,304,189,EOD,0,0,1.98,0.0,0.0,0.0,1.98
37,W2,165,0,0,1371,313,297,EOD,0,0,1.98,0.0,0.0,0.0,1.98
37,R1,129,0,0,359,100,166,EOD,100,100,1.98,0.0,0.0,0.0,1.98
37,R2,41,0,0,355,85,102,EOD,85,85,1.98,0.0,0.0,0.0,1.98
37,R3,66,0,0,1066,225,208,EOD,225,225,1.98,0.0,0.0,0.0,1.98
38,Supplier,0,0,0,0,0,0,EOD,0,0,1.89,0.0,0.0,0.0,1.89
38,W1,212,0,0,1339,185,206,EOD,0,0,1.89,0.0,0.0,0.0,1.89
38,W2,108,0,0,1516,225,168,EOD,0,0,1.89,0.0,0.0,0.0,1.89
